Problem Number,Problem Name,Difficulty,Top 75,Top 150,DB 50,Database
1,Two Sum,Easy,N,Y,N,N
2,Add Two Numbers,Medium,N,Y,N,N
3,Longest Substring Without Repeating Characters,Medium,N,Y,N,N
4,Median Of Two Sorted Arrays,Hard,N,Y,N,N
5,Longest Palindromic Substring,Medium,N,Y,N,N
6,Zigzag Conversion,Medium,N,Y,N,N
7,Reverse Integer,Medium,N,N,N,N
8,String To Integer (atoi),Medium,N,N,N,N
9,Palindrome Number,Easy,N,Y,N,N
10,Regular Expression Matching,Hard,N,N,N,N
11,Container With Most Water,Medium,Y,Y,N,N
12,Integer To Roman,Medium,N,Y,N,N
13,Roman To Integer,Easy,N,Y,N,N
14,Longest Common Prefix,Easy,N,Y,N,N
15,Three Sum,Medium,N,N,N,N
16,3Sum Closest,Medium,N,N,N,N
17,Letter Combinations Of A Phone Number,Medium,Y,Y,N,N
18,Four Sum,Medium,N,N,N,N
19,Remove Nth Node From End Of List,Medium,N,Y,N,N
20,Valid Parentheses,Easy,N,Y,N,N
21,Merge Two Sorted Lists,Easy,N,Y,N,N
22,Generate Parentheses,Medium,N,Y,N,N
23,Merge K Sorted Lists,Hard,N,Y,N,N
24,Swap Nodes In Pairs,Medium,N,N,N,N
25,Reverse Nodes In K-Group,Hard,N,Y,N,N
26,Remove Duplicates From Sorted Array,Easy,N,Y,N,N
27,Remove Element,Easy,N,Y,N,N
28,Implement strStr(),Easy,N,N,N,N
29,Divide Two Integers,Medium,N,N,N,N
30,Substring with Concatenation of All Words,Hard,N,Y,N,N
31,Next Permutation,Medium,N,N,N,N
32,Longest Valid Parentheses,Hard,N,N,N,N
33,Search in Rotated Sorted Array,Medium,N,Y,N,N
34,Find First and Last Position of Element in Sorted Array,Medium,N,Y,N,N
35,Search Insert Position,Easy,N,Y,N,N
36,Valid Sudoku,Medium,N,Y,N,N
37,Sudoku Solver,Hard,N,N,N,N
38,Count And Say,Medium,N,N,N,N
39,Combination Sum,Medium,N,Y,N,N
40,Combination Sum II,Medium,N,N,N,N
41,First Missing Positive,Hard,N,N,N,N
42,Trapping Rain Water,Hard,N,Y,N,N
43,Multiply Strings,Medium,N,N,N,N
44,Wildcard Matching,Hard,N,N,N,N
45,Jump Game II,Medium,N,Y,N,N
46,Permutations,Medium,N,Y,N,N
